path,module,backend,lines,layout,styleBlocks,inlineStyles,important,hexColors,tables,modals,responsive,plugins,references,referencedBy,legacyAttributeCandidate
"resources/views/backend/draw/pdf/pdf-team.blade.php","draw","true","240","","1","7","0","0","1","0","true","","1","app/Http/Controllers/Backend/FixtureController.php","false"
"resources/views/backend/draw/roundrobin/admin-scores.blade.php","draw","true","172","layouts/contentNavbarLayout","0","0","0","0","1","1","false","toastr","1","app/Http/Controllers/Backend/RoundRobinController.php","false"
"resources/views/backend/draw/roundrobin/draw-svg.blade.php","draw","true","203","","0","6","0","0","0","0","false","","2","app/Http/Controllers/Backend/RoundRobinController.php;app/Http/Controllers/Frontend/PublicRoundRobinController.php","false"
"resources/views/backend/draw/roundrobin/dynamic-bracket-svg.blade.php","draw","true","447","","1","13","10","35","0","0","true","","2","app/Http/Controllers/Backend/RoundRobinController.php;app/Http/Controllers/Frontend/PublicRoundRobinController.php","false"
"resources/views/backend/draw/roundrobin/full-bracket.blade.php","draw","true","350","","1","2","0","35","0","0","false","","0","","false"
"resources/views/backend/draw/roundrobin/main-bracket-html.blade.php","draw","true","495","","1","6","0","31","0","0","true","","0","","false"
"resources/views/backend/draw/roundrobin/main-bracket.blade.php","draw","true","81","","1","1","0","0","0","0","false","","0","","false"
"resources/views/backend/draw/roundrobin/plate-bracket.blade.php","draw","true","255","","1","1","0","4","0","0","false","","1","app/Http/Controllers/Backend/RoundRobinController.php","false"
"resources/views/backend/draw/roundrobin/players-workspace.blade.php","draw","true","54","","0","1","0","0","0","0","true","","1","resources/views/backend/draw/roundrobin/show.blade.php","false"
"resources/views/backend/draw/roundrobin/print-scripts.blade.php","draw","true","936","","3","77","15","93","12","0","true","toastr","1","resources/views/backend/draw/roundrobin/show.blade.php","false"
"resources/views/backend/draw/roundrobin/setup-scripts.blade.php","draw","true","1313","","0","7","0","6","3","0","true","toastr;swal","1","resources/views/backend/draw/roundrobin/show.blade.php","false"
"resources/views/backend/draw/roundrobin/show.blade.php","draw","true","1120","layouts/contentNavbarLayout","0","11","0","6","3","1","true","flatpickr;toastr;sortable","10","app/Http/Controllers/Backend/DrawController.php;app/Http/Controllers/Backend/DrawSetupController.php;app/Http/Controllers/Backend/FlexibleMonradController.php;app/Http/Controllers/Backend/RoundRobinController.php;routes/web.php;resources/views/backend/adminPage/partials/draws.blade.php;resources/views/backend/draw/partials/workspace-header.blade.php;resources/views/backend/draw/partials/workspace-links.blade.php;resources/views/backend/draw/_includes/draw_tab_interpro.blade.php;resources/views/backend/headOffice/partials/individual-draw-row.blade.php","false"
"resources/views/backend/draw/setup-category.blade.php","draw","true","23","layouts/contentNavbarLayout","0","1","0","0","0","0","false","","1","app/Http/Controllers/Backend/DrawSetupController.php","false"
"resources/views/backend/draw/setup.blade.php","draw","true","32","layouts/contentNavbarLayout","0","2","0","0","0","0","true","","1","app/Http/Controllers/Backend/DrawSetupController.php","false"
"resources/views/backend/draw/show.blade.php","draw","true","132","layouts/layoutMaster","0","0","0","0","0","0","false","datatable;select2;toastr;flatpickr","0","","false"
"resources/views/backend/draw/show2.blade.php","draw","true","195","layouts/layoutMaster","0","0","0","0","0","0","true","","1","app/Http/Controllers/Backend/DrawController.php","false"
"resources/views/backend/draw/team/draw-index-team.blade.php","draw","true","136","layouts/layoutMaster","0","0","0","0","0","1","true","datatable;select2;toastr;sortable","1","app/Http/Controllers/Backend/DrawController.php","false"
"resources/views/backend/draw/team/draw-show-team.blade.php","draw","true","200","layouts/layoutMaster","0","1","1","1","1","2","true","datatable;select2;toastr;flatpickr;sortable","2","app/Http/Controllers/Backend/DrawController.php;app/Http/Controllers/Frontend/FrontFixtureController.php","false"
"resources/views/backend/draw/_includes/draw_detail_index.blade.php","draw","true","129","","0","0","0","0","0","0","true","","1","resources/views/backend/headOffice/cavaliers-trials-show.blade.php","false"
"resources/views/backend/draw/_includes/draw_tab.blade.php","draw","true","176","","0","0","0","0","0","0","true","flatpickr","2","resources/views/backend/adminPage/admin_show/admin_tournament_show.blade.php;resources/views/backend/draw/individual/draw-index-individual.blade.php","false"
"resources/views/backend/draw/_includes/draw_tab_interpro.blade.php","draw","true","91","","0","0","0","0","0","0","true","","1","resources/views/backend/headOffice/interpro-event-show.blade.php","false"
"resources/views/backend/draw/_includes/draw_tab_team.blade.php","draw","true","126","","0","0","0","0","0","0","true","","4","resources/views/backend/draw/team/draw-index-team.blade.php;resources/views/backend/headOffice/team-event-show.blade.php;resources/views/backend/headOffice/_partials/tabs/draws.blade.php;resources/views/backend/headOffice/_partials/tabs/interpro-draw.blade.php","false"
"resources/views/backend/draw/_includes/individual_draw.blade.php","draw","true","25","","0","0","0","0","0","0","false","","2","resources/views/backend/draw/individual/cavaliersTrials.blade.php;resources/views/backend/draw/individual/draw-show-individual.blade.php","false"
"resources/views/backend/draw/_includes/monrad32.blade.php","draw","true","25","","0","0","0","0","0","0","false","","0","","false"
"resources/views/backend/draw/_modals/addVenueModal.blade.php","draw","true","24","","0","0","0","0","0","1","false","","4","resources/views/backend/draw/roundrobin/show.blade.php;resources/views/backend/draw/_includes/draw_detail_index.blade.php;resources/views/backend/draw/_includes/draw_tab.blade.php;resources/views/backend/headOffice/individual-event-show.blade.php","false"
"resources/views/backend/draw/_modals/change-schedule-modal.blade.php","draw","true","14","","0","0","0","0","0","1","false","","2","resources/views/backend/draw/team/draw-show-team.blade.php;resources/views/bracket/partials/fixtures.blade.php","false"
"resources/views/backend/draw/_modals/schedule-settings-modal.blade.php","draw","true","14","","0","0","0","0","0","1","false","","2","resources/views/backend/draw/individual/cavaliersTrials.blade.php;resources/views/backend/draw/individual/draw-show-individual.blade.php","false"
"resources/views/backend/engine/debug.blade.php","engine","true","263","layouts/layoutMaster","0","0","0","0","5","0","true","","1","app/Http/Controllers/Backend/EngineDebugController.php","false"
"resources/views/backend/engine/draw-mode.blade.php","engine","true","220","layouts/layoutMaster","0","0","0","0","2","0","true","","1","app/Http/Controllers/Backend/DrawEngineModeController.php","false"
"resources/views/backend/event/admin-refund.blade.php","event","true","183","layouts/layoutMaster","0","4","0","0","0","0","true","","1","app/Http/Controllers/Backend/AdminRegistrationRefundController.php","false"
"resources/views/backend/event/announcements.blade.php","event","true","285","layouts/layoutMaster","0","1","0","0","1","1","false","","1","app/Http/Controllers/Backend/EventAnnouncementController.php","false"
"resources/views/backend/event/camp/index.blade.php","event","true","1","","0","0","0","0","0","0","false","","1","resources/views/backend/event/overview.blade.php","false"
"resources/views/backend/event/categories.blade.php","event","true","263","layouts/layoutMaster","1","0","0","1","1","0","false","select2;toastr","1","app/Http/Controllers/Backend/EventCategoryController.php","false"
"resources/views/backend/event/create.blade.php","event","true","247","layouts/layoutMaster","0","0","0","0","0","0","true","select2;toastr","1","app/Http/Controllers/Backend/EventController.php","false"
"resources/views/backend/event/edit.blade.php","event","true","393","layouts/layoutMaster","1","1","0","10","0","0","true","select2;toastr","1","app/Http/Controllers/Backend/EventController.php","false"
"resources/views/backend/event/exports/all-players-pdf.blade.php","event","true","121","","1","0","0","10","1","0","false","","1","app/Http/Controllers/Backend/EventAdminController.php","false"
"resources/views/backend/event/exports/event_players_excel.blade.php","event","true","36","","0","0","0","0","1","0","false","","1","app/Exports/EventPlayersExport.php","false"
"resources/views/backend/event/finances.blade.php","event","true","1822","layouts/layoutMaster","1","22","10","10","11","8","true","select2","1","app/Http/Controllers/Backend/EventFinanceController.php","false"
"resources/views/backend/event/fixtures.blade.php","event","true","197","layouts/layoutMaster","1","3","0","3","1","0","true","datatable","1","app/Http/Controllers/Backend/EventAdminController.php","false"
"resources/views/backend/event/individual/entries.blade.php","event","true","1331","layouts/layoutMaster","1","19","4","5","2","3","true","select2;toastr;swal","1","app/Http/Controllers/Backend/EventEntryController.php","false"
"resources/views/backend/event/individual/fixtures/hq.blade.php","event","true","197","layouts/layoutMaster","1","3","0","3","1","0","true","datatable","0","","false"
"resources/views/backend/event/individual/index.blade.php","event","true","140","","0","0","0","0","0","0","true","","1","resources/views/backend/event/overview.blade.php","false"
"resources/views/backend/event/masters/overview.blade.php","event","true","137","layouts/layoutMaster","1","0","0","17","0","0","true","","1","app/Http/Controllers/Backend/EventAdminController.php","false"
"resources/views/backend/event/masters/setup.blade.php","event","true","6","layouts/layoutMaster","1","0","0","7","0","0","false","","1","app/Http/Controllers/Backend/MastersInvitationController.php","false"
"resources/views/backend/event/masters/_setup.blade.php","event","true","23","","0","0","0","0","0","0","true","","1","resources/views/backend/event/masters/setup.blade.php","false"
"resources/views/backend/event/overview.blade.php","event","true","93","layouts/layoutMaster","1","0","3","8","0","0","true","","1","app/Http/Controllers/Backend/EventAdminController.php","false"
"resources/views/backend/event/partials/email-modal.blade.php","event","true","56","","0","1","0","0","0","1","true","","1","resources/views/backend/event/individual/entries.blade.php","false"
"resources/views/backend/event/partials/entry-row.blade.php","event","true","95","","0","1","0","0","0","0","false","","2","app/Http/Controllers/Backend/EventAdminController.php;app/Http/Controllers/Backend/EventEntryController.php","false"
"resources/views/backend/event/partials/finances.blade.php","event","true","772","","0","15","0","4","6","4","true","","1","resources/views/backend/event/overview.blade.php","false"
"resources/views/backend/event/partials/header.blade.php","event","true","38","","0","0","0","0","0","0","true","","5","resources/views/backend/event/fixtures.blade.php;resources/views/backend/event/individual/fixtures/hq.blade.php;resources/views/backend/event/masters/overview.blade.php;resources/views/backend/event/masters/setup.blade.php;resources/views/backend/event/overview.blade.php","false"
"resources/views/backend/event/results/individual.blade.php","event","true","413","layouts/layoutMaster","1","1","0","2","0","0","true","sortable;toastr","1","app/Http/Controllers/Backend/EventResultsController.php","false"
"resources/views/backend/event/settings.blade.php","event","true","619","layouts/layoutMaster","1","0","0","0","0","0","true","toastr;select2","2","app/Http/Controllers/Backend/EventAdminController.php;app/Http/Controllers/Backend/EventSettingsController.php","false"
