fixture_id,draw_id,match_status,round,stage,created_at,risk_note
8030,239,0,1,NULL,"2023-05-04 22:42:16","orphan — draw #239 no longer exists"
8031,239,0,1,NULL,"2023-05-04 22:42:16","orphan — draw #239 no longer exists"
8032,239,0,2,NULL,"2023-05-04 22:42:16","orphan — draw #239 no longer exists"
8033,239,0,2,NULL,"2023-05-04 22:42:16","orphan — draw #239 no longer exists"
8034,239,0,3,NULL,"2023-05-04 22:42:16","orphan — draw #239 no longer exists"
8035,239,0,3,NULL,"2023-05-04 22:42:16","orphan — draw #239 no longer exists"
17534,1404,0,1,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17535,1404,0,1,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17536,1404,0,1,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17537,1404,0,1,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17538,1404,0,1,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17539,1404,0,1,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17540,1404,0,1,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17541,1404,0,2,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17542,1404,0,2,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17543,1404,0,2,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17544,1404,0,2,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17545,1404,0,2,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17546,1404,0,2,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17547,1404,0,2,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17548,1404,0,3,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17549,1404,0,3,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17550,1404,0,3,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17551,1404,0,3,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17552,1404,0,3,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17553,1404,0,3,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17554,1404,0,3,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17555,1404,0,4,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17556,1404,0,4,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17557,1404,0,4,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17558,1404,0,4,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17559,1404,0,4,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17560,1404,0,4,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17561,1404,0,4,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17562,1404,0,5,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17563,1404,0,5,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17564,1404,0,5,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17565,1404,0,5,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17566,1404,0,5,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17567,1404,0,5,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17568,1404,0,5,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17569,1404,0,6,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17570,1404,0,6,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17571,1404,0,6,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17572,1404,0,6,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17573,1404,0,6,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17574,1404,0,6,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17575,1404,0,6,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17576,1404,0,7,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17577,1404,0,7,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17578,1404,0,7,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17579,1404,0,7,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17580,1404,0,7,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17581,1404,0,7,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17582,1404,0,7,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17583,1404,0,8,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17584,1404,0,8,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17585,1404,0,8,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17586,1404,0,8,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17587,1404,0,8,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17588,1404,0,8,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17589,1404,0,8,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17590,1404,0,9,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17591,1404,0,9,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17592,1404,0,9,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17593,1404,0,9,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17594,1404,0,9,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17595,1404,0,9,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17596,1404,0,9,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17597,1404,0,10,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17598,1404,0,10,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17599,1404,0,10,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17600,1404,0,10,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17601,1404,0,10,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17602,1404,0,10,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17603,1404,0,10,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17604,1404,0,11,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17605,1404,0,11,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17606,1404,0,11,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17607,1404,0,11,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17608,1404,0,11,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17609,1404,0,11,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17610,1404,0,11,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17611,1404,0,12,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17612,1404,0,12,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17613,1404,0,12,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17614,1404,0,12,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17615,1404,0,12,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17616,1404,0,12,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17617,1404,0,12,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17618,1404,0,13,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17619,1404,0,13,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17620,1404,0,13,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17621,1404,0,13,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17622,1404,0,13,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17623,1404,0,13,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17624,1404,0,13,RR,"2026-03-26 08:47:03","orphan — draw #1404 no longer exists"
17638,1407,0,1,RR,"2026-03-26 09:29:47","orphan — draw #1407 no longer exists"
17639,1407,0,2,RR,"2026-03-26 09:29:47","orphan — draw #1407 no longer exists"
17640,1407,0,3,RR,"2026-03-26 09:29:47","orphan — draw #1407 no longer exists"
17644,1407,0,1,MAIN,"2026-03-26 12:15:53","orphan — draw #1407 no longer exists"
17645,1407,0,1,MAIN,"2026-03-26 12:15:53","orphan — draw #1407 no longer exists"
17646,1407,0,2,MAIN,"2026-03-26 12:15:53","orphan — draw #1407 no longer exists"
17647,1407,0,2,MAIN,"2026-03-26 12:15:53","orphan — draw #1407 no longer exists"
17725,1411,1,1,RR,"2026-04-23 11:31:59","orphan — draw #1411 no longer exists"
17726,1411,1,1,RR,"2026-04-23 11:31:59","orphan — draw #1411 no longer exists"
17727,1411,1,2,RR,"2026-04-23 11:31:59","orphan — draw #1411 no longer exists"
17728,1411,1,2,RR,"2026-04-23 11:31:59","orphan — draw #1411 no longer exists"
17729,1411,1,3,RR,"2026-04-23 11:31:59","orphan — draw #1411 no longer exists"
17730,1411,1,3,RR,"2026-04-23 11:31:59","orphan — draw #1411 no longer exists"
17731,1411,1,4,RR,"2026-04-23 11:31:59","orphan — draw #1411 no longer exists"
